code,date,open,high,low,close,volume
588000.SH,20260811,1.816,1.85,1.795,1.806,32083768
588000.SH,20260812,1.811,1.844,1.803,1.833,28899076
588000.SH,20260813,1.856,1.881,1.809,1.812,40287224
588000.SH,20260814,1.832,1.837,1.785,1.814,31499191
588000.SH,20260817,1.812,1.888,1.811,1.888,42269337
511010.SH,20260420,139.942,139.981,139.906,139.925,56866
511010.SH,20260421,139.909,139.964,139.889,139.92,7982
511010.SH,20260422,139.96,140.029,139.952,140.023,29608
511010.SH,20260423,140.023,140.028,139.956,140.023,50750
511010.SH,20260424,140.03,140.116,140.025,140.085,48984
511010.SH,20260427,140.027,140.041,139.874,139.887,30849
511010.SH,20260428,139.946,140.025,139.928,140.006,84554
511010.SH,20260429,140.016,140.085,139.998,140.085,41704
511010.SH,20260430,140.087,140.117,140.056,140.059,172006
511010.SH,20260506,139.986,140.056,139.903,139.997,48190
511010.SH,20260507,139.997,140.068,139.975,140.006,54616
511010.SH,20260508,140.034,140.086,140.034,140.086,200995
511010.SH,20260511,140.082,140.116,139.98,140.097,36146
511010.SH,20260512,140.114,140.172,140.076,140.149,32192
511010.SH,20260513,140.149,140.195,140.148,140.185,20414
511010.SH,20260514,140.195,140.206,140.163,140.197,15545
511010.SH,20260515,140.232,140.282,140.2,140.26,18514
511010.SH,20260518,140.262,140.322,140.186,140.312,18273
511010.SH,20260519,140.308,140.455,140.308,140.433,37188
511010.SH,20260520,140.434,140.485,140.42,140.464,15078
511010.SH,20260521,140.461,140.477,140.367,140.377,20175
511010.SH,20260522,140.379,140.401,140.334,140.39,10516
511010.SH,20260525,140.388,140.388,140.331,140.362,16152
511010.SH,20260526,140.362,140.421,140.362,140.416,10171
511010.SH,20260527,140.418,140.493,140.417,140.488,72578
511010.SH,20260528,140.513,140.604,140.509,140.603,18554
511010.SH,20260529,140.596,140.69,140.574,140.685,66250
511010.SH,20260601,140.684,140.712,140.661,140.69,27166
511010.SH,20260602,140.689,140.711,140.656,140.666,29173
511010.SH,20260603,140.667,140.694,140.634,140.65,34290
511010.SH,20260604,140.651,140.711,140.599,140.69,35412
511010.SH,20260605,140.698,140.751,140.667,140.686,29553
511010.SH,20260608,140.663,140.675,140.537,140.595,20336
511010.SH,20260609,140.597,140.625,140.517,140.531,30226
511010.SH,20260610,140.519,140.565,140.462,140.464,27309
511010.SH,20260611,140.464,140.466,140.323,140.324,25459
511010.SH,20260612,140.32,140.412,140.32,140.349,27540
511010.SH,20260615,140.406,140.406,140.259,140.376,21902
511010.SH,20260616,140.377,140.505,140.346,140.495,50600
511010.SH,20260617,140.496,140.548,140.465,140.534,20260
511010.SH,20260618,140.546,140.628,140.531,140.617,44534
511010.SH,20260622,140.617,140.663,140.536,140.649,85941
511010.SH,20260623,140.644,140.644,140.544,140.558,25436
511010.SH,20260624,140.558,140.621,140.54,140.619,51554
511010.SH,20260625,140.7,140.701,140.607,140.636,24147
511010.SH,20260626,140.649,140.725,140.639,140.721,11854
511010.SH,20260629,140.742,140.848,140.742,140.845,18959
511010.SH,20260630,140.848,140.852,140.766,140.792,31562
511010.SH,20260701,140.781,140.781,140.599,140.637,53722
511010.SH,20260702,140.637,140.706,140.591,140.695,30623
511010.SH,20260703,140.65,140.699,140.641,140.695,137244
511010.SH,20260706,140.694,140.768,140.682,140.753,37606
511010.SH,20260707,140.75,140.774,140.71,140.748,48534
